rank,item_label,genre,selection_rate_pct,n_selected,n_valid
1,Paul Williams,Foil,19.5,177,908
2,Valentin Levin,Foil,18.9,172,908
3,Vladimir Pozdnyakov,Foil,16.0,145,908
4,German Sadulayev,Foil,13.2,120,908
5,Alexander Fomin,Foil,11.1,101,908
6,Elizabeth Harlett,Foil,10.4,94,908
7,Jeremy Watts,Foil,10.2,93,908
8,Gennady Proskurin,Foil,10.1,92,908
9,Leonid Golovnin,Foil,9.1,83,908
10,Valentin Vershinin,Foil,8.9,81,908
11,Debra Winslow,Foil,8.5,77,908
12,Peter Lund,Foil,8.1,74,908
13,Paul Merwick,Foil,7.9,72,908
14,Alexey Gordeev,Foil,7.9,72,908
15,Nigel Woodson,Foil,7.7,70,908
16,Margaret Nash,Foil,7.7,70,908
17,Stanley Fowler,Foil,7.2,65,908
18,Edwin Mac Gregory,Foil,6.9,63,908
19,Georgy Savchenko,Foil,6.8,62,908
20,Christian Lowe,Foil,6.7,61,908
21,Davis Carter,Foil,6.5,59,908
22,Richard Gould,Foil,6.2,56,908
23,Michael D. Kasler,Foil,6.2,56,908
24,Alexander Rosin,Foil,5.9,54,908
25,Chris Reynolds,Foil,5.9,54,908
26,Jan Dijkstra,Foil,5.2,47,908
27,Evgenia Serova,Foil,4.8,44,908
28,Randy Dinkins,Foil,4.7,43,908
29,Vladimir Sidorenko,Foil,4.5,41,908
30,Victor Mints,Foil,4.4,40,908
31,Lawrence Kinsdale,Foil,4.4,40,908
32,Luis Silva,Foil,4.2,38,908
33,Walter Coles,Foil,4.1,37,908
34,Julian Weissman,Foil,4.0,36,908
35,Salvattore J.-A.S. Ceccareli,Foil,3.5,32,908
36,Neil Bourke,Foil,3.5,32,908
37,Vladimir Gusakov,Foil,3.4,31,908
38,Mikhail Ron,Foil,3.3,30,908
39,Glenn Marion,Foil,3.2,29,908
40,Mark Kravchenko,Foil,3.2,29,908
41,Andrea Segre,Foil,3.0,27,908
42,Xiulian Jin,Foil,3.0,27,908
43,Evgenia Udalova,Foil,3.0,27,908
44,Gennady Romanenko,Foil,3.0,27,908
45,Stanistlav Sidorchuk,Foil,2.9,26,908
46,Joseph Eitzinger,Foil,2.8,25,908
47,Margaret Swing,Foil,2.8,25,908
48,Igor Zakharyev,Foil,2.8,25,908
49,Vladimir Bautin,Foil,2.5,23,908
50,Roland Heyninen,Foil,2.3,21,908
51,Stanislav Stepanovich,Foil,2.2,20,908
52,Derek Gottman,Foil,2.2,20,908
53,Alexander Petrikov,Foil,2.2,20,908
54,Martha Schave,Foil,2.1,19,908
55,Veniamin Khoroshevsky,Foil,2.0,18,908
56,Alison Sage,Foil,2.0,18,908
57,Alexander Hristov,Foil,1.9,17,908
58,Gonzalo K. Hijar,Foil,1.9,17,908
59,Anthony Novitz,Foil,1.8,16,908
60,Rimma Ilyinskaya,Foil,1.8,16,908
61,Raghavena Bhatta,Foil,1.7,15,908
62,Varvara Gordienko,Foil,1.7,15,908
63,Lawrence Shallot,Foil,1.7,15,908
64,Ivan Ushachev,Foil,1.7,15,908
65,Eric Ravelli,Foil,1.7,15,908
66,Anatoly Agarin,Foil,1.7,15,908
67,Owen Fenton,Foil,1.5,14,908
68,Diana Raven,Foil,1.5,14,908
69,Gonzalo Hervas,Foil,1.4,13,908
70,Sokratis Stergiadis,Foil,1.4,13,908
71,Diego Rubiales,Foil,1.4,13,908
72,David Gladsky,Foil,1.4,13,908
73,Victor Khlystun,Foil,1.3,12,908
74,Brian Callis,Foil,1.3,12,908
75,Daniil Zubin,Foil,1.3,12,908
76,Ekaterina Mikhailina,Foil,1.2,11,908
77,Javier Giraldes,Foil,1.2,11,908
78,Vasily Uzun,Foil,1.1,10,908
79,Max Mandler,Foil,1.1,10,908
80,Simone Orlandini,Foil,1.1,10,908
81,Terry Aveling,Foil,1.1,10,908
82,Hans-Peter Piefo,Foil,1.0,9,908
83,Nikolay Dolgushkin,Foil,0.9,8,908
84,Ivan Savin,Foil,0.9,8,908
85,Ajay Kohli,Foil,0.8,7,908
86,Shabtai Bittman,Foil,0.8,7,908
87,Petr Sabluk,Foil,0.8,7,908
88,Holger Magel,Foil,0.8,7,908
89,Wenxue Wei,Foil,0.7,6,908
90,Adibe L. M. Abdallah,Foil,0.7,6,908
91,Dmitry Malovets,Foil,0.7,6,908
92,Secundino Lopez,Foil,0.6,5,908
93,Natalya Shagaida,Foil,0.6,5,908
94,Fangsen Xu,Foil,0.4,4,908
95,Malau Aduli,Foil,0.4,4,908
96,Kerstin Panten,Foil,0.4,4,908
97,Valentina Shirokova,Foil,0.3,3,908
98,Dandeniya Varshi,Foil,0.3,3,908
99,Ed Charmley,Foil,0.3,3,908
100,Linda Abelson,Foil,0.3,3,908
101,Ivan Buzdalov,Foil,0.2,2,908
102,Dmitry Parkmali,Foil,0.2,2,908
103,Tatyana Kazennova,Foil,0.1,1,908
104,Yakushkina Gilyan,Foil,0.0,0,908
